key,en,ko,zh-cn
slug,bigquery,bigquery-ko,bigquery-zh-cn
teaser,Let's see how much you know about BigQuery.,BigQuery에 대해 얼마나 알고 있는지 확인해보세요.,BigQuery 知识知多少。
description,"# What is BigQuery? \n\nBigQuery is Google's serverless, highly scalable enterprise data warehouse. Because there is no infrastructure to manage, you don't need to deploy any resources such as disks or virtual machines, so that you can focus on analyzing data to find meaningful insights using familiar SQL without the need\nfor a database administrator. Let's see how much you know about BigQuery! ![](https://storage.googleapis.com/instruqt-shadow-resources/bigquery/BigQuery.gif)",# BigQuery란 무엇인가요? \n\nBigQuery는 확장성이 뛰어난 Google의 기업용 서버리스 데이터 웨어하우스입니다. 관리할 인프라가 없기 때문에 디스크나 가상 머신과 같은 리소스를 배포할 필요가 없으므로 익숙한 SQL로 의미 있고 유용한 정보를 찾기 위해 데이터 분석에 집중할 수 있으며 데이터베이스 관리자도 필요하지 않습니다. BigQuery에 대해 얼마나 알고 있는지 확인해볼까요? ![](https://storage.googleapis.com/instruqt-shadow-resources/bigquery/BigQuery.gif),# 什么是 BigQuery? \n\nBigQuery 是 Google 的无服务器、可扩缩性极强的企业数据仓库。因为没有需要管理的基础架构，您不需要部署任何资源，比如磁盘或虚拟机，这让您可以集中精力分析数据，使用熟悉的 SQL 语言找出有意义的洞见，而且不需要\n设置数据库管理员。下面让我们看看您对 BigQuery 的了解程度如何!![](https://storage.googleapis.com/instruqt-shadow-resources/bigquery/BigQuery.gif)
challenge-1-title,Level 1: Public Dataset,레벨 1: 공개 데이터세트,第 1 关：公共数据集
challenge-1-teaser,Query a dataset and figure out what's the most common name in the US.,데이터세트에 쿼리를 수행하고 미국에서 가장 흔한 이름이 무엇인지 확인하세요.,查询数据集，找出美国人最常用的名字。
challenge-1-assignment,"Use the **bigquery-public-data.usa_names.usa_1910_current** table to figure out what is the most common name in the US. \n\n Each row represents\nthe number of people born in the same year with the same name. \n\n **Hint**: If in doubt, start with **bq help**.",**bigquery-public-data.usa_names.usa_1910_current** 테이블을 이용해 미국에서 가장 흔한 이름이 무엇인지 확인하세요. \n\n 각 행에는 같은 연도에\n출생한 사람들 중 이름이 같은 사람 수가 표시됩니다. \n\n **힌트**: 잘 모르겠다면 **bq help**로 시작해보세요.,使用 **bigquery-public-data.usa_names.usa_1910_current** 表格，找出美国人最常用的名字。\n\n 每行代表\n同年出生的人中取同一名字的人数。\n\n **提示**：如有疑问，请从**bq help**开始。
challenge-1-notes,There are several **public datasets** hosted in BigQuery for you to access and integrate into your applications. \n\n In this first challenge you will use a public dataset created by the Social Security Administration to figure out what's the most common name in the US.,BigQuery에는 사용자가 액세스하고 자신의 애플리케이션에 통합할 수 있는 여러 개의 **공개 데이터세트**가 호스팅되어 있습니다. \n\n 이 첫 번째 도전과제에서는 미국 사회보장국에서 작성된 공개 데이터세트를 이용해서 미국에서 가장 흔한 이름이 무엇인지 알아봅니다.,BigQuery 中托管有多个**公共数据集**，供您访问并集成到应用中。\n\n第一关要求您使用美国社保局创建的公共数据集，找出美国人最常用的名字。
challenge-2-title,Level 2: Create a dataset,레벨 2: 데이터세트 만들기,第 2 关：创建数据集
challenge-2-teaser,First things first. Let’s create a dataset.,순서대로 해볼까요? 먼저 데이터세트를 만들어보세요.,首先，让我们创建一个数据集。
challenge-2-assignment,Now it’s your turn to **create a dataset**. Let's get started with this second challenge!,이제 **데이터세트를 만들** 차례입니다. 지금부터 두 번째 도전과제를 시작해보세요.,现在，轮到您动手*创建数据集**。让我们开始挑战第二关吧！
challenge-2-notes,"A **dataset** is a collection of tables that are contained within a specific **project**. Datasets are top-level containers that are used to organize and control access to your **tables and views**. \nA table or view must belong to a dataset, so you need to **create at least one dataset** before loading data into BigQuery.",**데이터세트**는 특정 **프로젝트** 내에 포함되어 있는 테이블 모음입니다. 데이터세트는 **테이블 및 뷰**를 구성하고 이에 대한 액세스 권한을 제어하기 위해 사용되는 최상위 컨테이너입니다. \n테이블 또는 뷰는 데이터세트에 속하므로 데이터를 BigQuery에 로드하기 전에 **데이터세트를 1개 이상 만들어야** 합니다.,**数据集**指具体**项目**中所含表格的集合。数据集是用于组织和控制**表格和视图**访问权限的顶级容器。\n表格或视图必须属于一个数据集，因此，要将数据加载到 BigQuery，您必须**创建至少一个数据集**。
challenge-3-title,Level 3: Create a table with some data,레벨 3: 데이터로 테이블 만들기,第 3 关：创建包含某些数据的表格
challenge-3-teaser,Create a table and load some sample data,테이블을 만들고 샘플 데이터 로드하기,创建一个表格，并加载一些样本数据
challenge-3-assignment,Let's create a table called **road_trip** in our new dataset and load some data using the **data.csv** file and the **schema.json** file available in the home directory.,새로운 데이터세트에 **road_trip**이라는 테이블을 만들고 홈 디렉터리에 있는 **data.csv** 파일 및 **schema.json** 파일을 사용하여 데이터를 로드하세요.,在我们新建的数据集中创建名为**road_trip**的表格，然后使用主目录中的**data.csv**文件和**schema.json**文件加载一些数据。
