key,en,pt,es,zh-cn,zh-tw,ko,zh-HK
ANALYZING_IMAGES_HELP,"The image in file ""doggo1.png"" contains an adorable dog, yes, but what is his
breed? Using ""gcloud"", send this precious pup through Google's Vision API and report
back what the most prominent breed is.

*HINT* Type ""gcloud ml vision"" to get started.","A imagem no arquivo ""doggo1.png"" contém um cãozinho fofo. Mas qual é a raça dele? Usando a ""gcloud"", envie esse filhote para a API Vision do Google e informe qual é a raça dele.

*DICA* Digite ""gcloud ml vision"" para começar.","En la imagen del archivo ""doggo1.png"" aparece un perro adorable, eso no hay quien lo dude. Pero ¿de qué raza es? Usa un comando ""gcloud"" para enviar la imagen a la API Vision de Google, que la analizará, y dinos a qué raza pertenece en mayor medida este precioso cachorrito.

*NOTA:* Escribe ""gcloud ml vision"" para empezar.","“doggo1.png”文件包含一张可爱的狗狗图片，没错，但这是什么品种的狗狗呢？借助 **gcloud**，您可以通过 Google 的 Vision API 发送这张可爱的狗狗图片，然后该 API 便会报告这只狗狗最明显的品种特征。

*提示*：输入“gcloud ml vision”即可开始使用。","「doggo1.png」圖檔中出現了一隻可愛的小狗，請問它是什麼品種？請使用「gcloud」，透過 Google 的 Vision API 傳送這隻小寶貝的圖片，然後回報最可能的品種是什麼。

*提示*輸入「gcloud ml vision」即可開始。","doggo1.png' 파일의 이미지에 귀여운 강아지 한 마리가 있습니다.
이 강아지는 무슨 종일까요? 'gcloud'로 Google의 Vision API를
통해 이 귀여운 강아지의 이미지를 전송하고 가장 유력한 종이 무엇인지 다시 알려주세요.

*힌트* 시작하려면 'gcloud ml vision'을 입력하세요.",任務
ANALYZING_IMAGES_HINT,"Try running the following command:

    gcloud ml vision detect-labels doggo1.png --max-results=6

And look for the first value of ""description"" which describes a dog breed. Be
sure to select the breed with the highest ""score"" value!","Execute o seguinte comando:

    gcloud ml vision detect-labels doggo1.png --max-results=6

E veja o primeiro valor em ""description"" que indica uma raça de cachorro. Escolha a raça com o maior valor de pontuação.","Prueba a ejecutar el siguiente comando:

    gcloud ml vision detect-labels doggo1.png --max-results=6

Busca el primer valor de ""description"" que indique una raza de perro. Selecciona la raza que tenga un valor más alto en ""score"".","请尝试运行以下命令：

    gcloud ml vision detect-labels doggo1.png --max-results=6

查找“description”的第一个值，该值描述狗狗的品种。请务必选择“score”（得分）值最高的品种！","請嘗試執行以下指令：

    gcloud ml vision detect-labels doggo1.png --max-results=6

然後尋找描述狗品種的「說明」中的第一個值。請務必選擇具有最高「分數」值的品種！","다음 명령어를 실행해 보세요.

    gcloud ml vision detect-labels doggo1.png --max-results=6

그리고 강아지 종을 설명하는 'description'의 첫 번째 값을 찾으세요.
'score' 값이 가장 높은 종을 선택하세요.",輸入「help」以再次顯示訊息。
ANALYZING_IMAGES_CHOICES,"What is the dog's most prominent breed?
Toy Bulldog
English Bulldog
Boston Terrier
Scottish Terrier
King Charles Cavalier","Qual é a raça mais provável do cachorro?
Buldogue toy
Buldogue inglês
Boston terrier
Terrier escocês
Cavalier king charles","¿Cuál es la raza con mayor puntuación?
Bulldog toy
Bulldog inglés
Boston Terrier
Terrier escocés
Cavalier King Charles","这只狗狗最突出的品种特征是什么？
Toy Bulldog（玩具斗牛犬）
English Bulldog（英国斗牛犬）
Boston Terrier（波士顿梗犬）
Scottish Terrier（苏格兰梗犬）
King Charles Cavalier（骑士查理王猎犬）","這隻狗最有可能是什麼品種？
玩具鬥牛犬
英國鬥牛犬
波士頓㹴犬
蘇格蘭㹴犬
騎士查理王小獵犬","가장 유력한 강아지 종은 무엇인가요?
Toy Bulldog (토이 불독)
English Bulldog (잉글리쉬 불독)
Boston Terrier (보스턴 테리어)
Scottish Terrier (스코티쉬 테리어)
King Charles Cavalier (킹 찰스 카발리어)",如真的需要提示，請輸入「hint」。
ANALYZING_IMAGES_ANSWER,boston terrier,boston terrier,boston terrier,boston terrier（波士顿梗犬）,波士頓㹴犬,boston terrier (보스턴 테리어),此挑戰的答案是什麽？
ANALYZING_IMAGES_ALMOST_CORRECT,english bulldog,buldogue inglês,bulldog inglés,english bulldog（英国斗牛犬）,英國鬥牛犬,english bulldog (잉글리쉬 불독),現在請按 A 按鈕檢查答案
ANALYZING_IMAGES_ALMOST_CORRECT_MESSAGE,You're close! There is one other dog breed which is more prominent,Quase! Há outra raça com maior probabilidade,¡Casi! Hay otra raza canina con mayor puntuación,,答案很接近了！還有一個更可能的狗品種,,找到答案後，請輸入「answer」，然後按 ENTER
RECOGNIZING_AUDIO_HELP,"There are three audio files: ""quote1.wav"", ""quote2.wav"",
and ""quote3.wav"". Test your pop culture knowledge by identifying
the undeniably classic 90's movie these quotes are from. Convert the audio into
text using the Speech to Text API and report back with the title of the film.

*HINT* Type ""gcloud ml speech"" to get started.","Há três arquivos de áudio: ""quote1.wav"", ""quote2.wav"",
e ""quote3.wav"". Teste seu conhecimento sobre a cultura pop identificando de quais filmes clássicos dos anos 90 essas frases foram retiradas. Converta o áudio em texto usando a API Speech to Text e informe o título do filme.

*DICA* Digite ""gcloud ml speech"" para começar.","Hay tres archivos de audio: ""quote1.wav"", ""quote2.wav"" y ""quote3.wav"". Para poner a prueba tus conocimientos de cultura popular, identifica las innegablemente clásicas películas de los 90 de las que proceden estas citas. Convierte el audio en texto mediante la API Transcripción de voz, que lo analizará, y dinos el título de la película.

*NOTA:* Escribe ""gcloud ml speech"" para empezar.","有三个音频文件，它们分别是“quote1.wav”、“quote2.wav”和“quote3.wav”。请辨别这些台词引自哪些毋庸置疑的 90 年代经典影片，以测试您对流行文化的了解程度。您可以使用 Speech to Text API 将音频转换为文本，随后该 API 会返回相应影片的标题。

*提示*：输入“gcloud ml speech”即可开始使用。","共有三個音訊檔案：「quote1.wav」、「quote2.wav」和「quote3.wav」。告訴我們這些台詞是出自於哪些 90 年代的經典電影，測試一下您對流行文化的瞭解程度如何。請使用 Speech to Text API 將音訊轉換為文字，然後回報電影片名。

*提示*輸入「gcloud ml speech」即可開始。","quote1.wav', 'quote2.wav', 'quote3.wav'라는 3개의 
오디오 파일이 있습니다. 이 영화대사가 등장한 90년대 고전 영화
제목을 알아맞춰 대중 문화에 대해 얼마나 잘 알고 있는지 테스트해 보세요. Speech-to-Text API를 사용해 오디오를 텍스트로 변환하고 영화 제목을 다시 알려주세요.

*힌트* 시작하려면 'gcloud ml speech'를 입력하세요.",如您需要提示，您便可能應該試試較容易的難度設定 :)
RECOGNIZING_AUDIO_HINT,"Try running the following command:

    gcloud ml speech recognize quote1.wav --language-code=en

Run the same command using ""quote2.wav"" and ""quote3.wav"".

If you don't recognize the movie, run the quotes using the googler script and that
should help narrow it down:

    googler ""this is a movie quote!""
","Execute o seguinte comando:

    gcloud ml speech recognize quote1.wav --language-code=en

Execute o mesmo comando usando ""quote2.wav"" e ""quote3.wav"".

Se você não reconhecer o filme, execute o comando usando o script do Google. Isso ajudará a restringir as opções:

    googler ""this is a movie quote!""
","Prueba a ejecutar el siguiente comando:

    gcloud ml speech recognize quote1.wav --language-code=en

Usa el mismo comando con los archivos ""quote2.wav"" y ""quote3.wav"".

Si no reconoces la película, analiza las citas con la secuencia de comandos ""googler"" para afinar el resultado:

    googler ""aquí va la cita de una película""
","请尝试运行以下命令：

    gcloud ml speech recognize quote1.wav --language-code=en

使用“quote2.wav”和“quote3.wav”运行同一命令。

如果您未能识别该影片，请使用 googler 脚本来运行这些台词文件，这会帮助您缩小范围：

    googler ""this is a movie quote!""","請嘗試執行以下指令：

    gcloud ml speech recognize quote1.wav --language-code=en

使用「quote2.wav」和「quote3.wav」執行相同的指令。

如果您不知道那是什麼電影的台詞，請使用 googler 指令碼執行那些台詞，這樣應該有助於縮小範圍：

    googler「這是一句電影台詞！」
","다음 명령어를 실행해보세요.

    gcloud ml speech recognize quote1.wav --language-code=en

'quote2.wav' 및 'quote3.wav'를 사용해 동일한 명령어를 실행하세요.

영화 제목을 알 수 없을 때 googler 스크립트를 사용해서 영화대사를 실행하면
범위를 좁히는 데 도움이 됩니다.

    googler 'this is a movie quote!'
",您尚未回答！您必須執行「answer」指令，然後按 ENTER
RECOGNIZING_AUDIO_CHOICES,"What movie are these quotes from?
Silence of the Lambs
Jurassic Park
The Room
Pulp Fiction
Forrest Gump","De quais filmes essas citações foram retiradas?
O Silêncio dos Inocentes
Jurassic Park
The Room
Pulp Fiction: Tempo de Violência
Forrest Gump: O Contador de Histórias","¿A qué película pertenecen estas citas?
El silencio de los corderos
Parque Jurásico
The Room
Pulp Fiction
Forrest Gump","这些台词引自哪部影片？
Silence of the Lambs（沉默的羔羊）
Jurassic Park（侏罗纪公园）
The Room（房间）
Pulp Fiction（低俗小说）
Forrest Gump（阿甘正传）","這些台詞出自哪部電影？
沉默的羔羊 (Silence of the Lambs)
侏羅紀公園 (Jurassic Park)
房間 (The Room)
黑色追緝令 (Pulp Fiction)
阿甘正傳 (Foreset Gump)","이 영화대사는 어느 영화에서 나온 것일까요?
Silence of the Lambs (양들의 침묵)
Jurassic Park (쥬라기 공원)
The Room (더 룸)
Pulp Fiction (펄프 픽션)
Forrest Gump (포레스트 검프)",答案錯誤！如需提示，請輸入「hint」。
RECOGNIZING_AUDIO_ANSWER,jurassic park,jurassic park,parque jurásico,jurassic park（侏罗纪公园）,侏羅紀公園 (jurassic park),jurassic park (쥬라기 공원),"檔案内的圖片「doggo1.png」中有一隻可愛小狗，這隻狗屬於哪一品種？使用「gcloud」，透過 Google 的 Vision API 傳送這隻珍貴小狗，並匯報其最明顯的所屬品種。
 
 *提示*輸入「gcloud ml vision」即可開始。"
