key,en,pt,es,zh-tw,ko,zh-cn,zh-hk
slug,cloud-storage,cloud-storage-pt,cloud-storage-es,cloud-storage-zh-tw,cloud-storage-ko,cloud-storage-zh-cn,cloud-storage-zh-hk
title,Cloud Storage,Cloud Storage,Cloud Storage,Cloud Storage (zh_tw),Cloud Storage (ko),Cloud Storage (zh_cn),雲端儲存空間
teaser,Unified object storage for developers and enterprises.,Armazenamento unificado de objetos para desenvolvedores e empresas.,Almacenamiento de objetos unificado para desarrolladores y empresas,使用 Google 現成的機器學習模型。,개발자 및 엔터프라이즈를 위한 통합 객체 스토리지입니다.,Cloud Storage,為開發人員和企業而設的統一物件儲存空間。
description,"What is Google Cloud Storage?\n\nGoogle Cloud Storage allows world-wide storage and retrieval of any amount of data at any time. You can use GCS for a range of scenarios including serving website content, storing data for archival and disaster recovery, or distributing large data objects to users via direct download.","O que é o Google Cloud Storage?\n\nO Google Cloud Storage possibilita o armazenamento e a recuperação de qualquer quantidade de dados a qualquer momento e em qualquer lugar do mundo. Você pode usar o GCS em diversos cenários, incluindo exibição de conteúdo em sites, armazenamento de dados para arquivamento e recuperação de desastres ou distribuição de objetos de dados grandes aos usuários por download direto.","¿Qué es Google Cloud Storage?\n\nEs un servicio que permite almacenar y visualizar cualquier cantidad de datos donde y cuando quieras. Puede utilizarse en multitud de situaciones; por ejemplo, para servir contenido en sitios web, almacenar datos para archivarlos y realizar recuperaciones tras fallos, y distribuir grandes objetos de datos a usuarios mediante descarga directa.","# 什麼是 Cloud Machine Learning API？
Cloud ML API 系列提供了機器學習模型的使用介面。這些 API 包括 Cloud Vision、Cloud Video Intelligence、Cloud Natural Language、Cloud Speech 和 Cloud Translate 等等。
![](https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/cloud-ml-apis.png)","Google Cloud Storage란 무엇인가요?\n\nGoogle Cloud Storage를 사용하면 데이터 양에 관계없이 언제 어디서나 데이터를 저장하고 가져올 수 있습니다. GCS를 웹사이트 콘텐츠 제공, 보관처리 및 재해 복구를 위한 데이터 저장, 직접 다운로드를 통해 사용자에게 대량의 데이터 객체 배포 등 다양한 용도로 사용할 수 있습니다.",为开发者和企业设计的统一对象存储系统。,何謂「Google 雲端儲存空間」？\n\n「Google 雲端儲存空間」提供全球儲存空間服務，讓您可隨時隨地儲存和擷取無限量的資料。您可在不同情況下使用「Google 雲端儲存空間」，包括寄存網站内容、儲存封存資料、災後資料復原，或透過直接下載向用戶分發大型資料物件。
challenge-title-1,Level 1 - It all begins with a bucket.,Nível 1 – Tudo começa com um intervalo.,Nivel 1: Todo empieza con un segmento.,第 1 級：分析圖片,레벨 1 - 시작 단계로 버킷 만들기,什么是 Google Cloud Storage？\n\n借助 Google Cloud Storage，您可以随时在全球范围内存储和检索不限量的数据。您可以在各种各样的场景中使用 Google Cloud Storage，包括传送网站内容、存储数据以用于归档和灾难恢复，或者向用户分发大型数据对象（用户直接下载）。,第 1 級 - 由儲存區開始。
challenge-teaser-1,Demonstrate that you can create a Google Cloud Storage bucket... before time runs out.,Mostre que você consegue criar um intervalo do Google Cloud Storage... antes de o tempo se esgotar.,Demuestra que eres capaz de crear un segmento de Google Cloud Storage antes de que el tiempo se acabe.,證明您可以偵測圖片的相關資訊。,시간이 더 지나기 전에 Google Cloud Storage 버킷을 만들 수 있는지 보여주세요.,第 1 关 - 一切从存储分区开始。,在時限完結前，證明您可建立「Google 雲端儲存空間」儲存區。
challenge-assignment-1,"By modifying ""python/challenge.py"", ""node/challenge.js"", ""go/challenge.go"", or using gsutil directly, create a bucket named $BUCKET_NAME.\n\nFeeling stuck? type ""help"", or ""hint"".\n\nHit the ""Check"" button when you are done.","Crie um intervalo chamado $BUCKET_NAME modificando ""python/challenge.py"", ""node/challenge.js"" ou ""go/challenge.go"" ou usando o gsutil diretamente. \n\nNão sabe por onde começar? Digite ""help"" ou ""hint"".\n\nPressione o botão ""Check"" quando terminar.","Modifica ""python/challenge.py"", ""node/challenge.js"" o ""go/challenge.go"", o bien utiliza gsutil directamente, para crear un segmento llamado $BUCKET_NAME.\n\nSi te bloqueas, escribe ""help"" o ""hint"".\n\nPulsa el botón ""Check"" (Comprobar) cuando termines.","<img src=""https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/doggo1.png"" style=""float: left; padding-right: 36px"" />
**doggo1.png** 圖檔中出現了一隻可愛的小狗，請問它是什麼品種？請使用 **gcloud**，透過 Google 的 Vision API 這隻小寶貝的圖片，然後回報最可能的品種是什麼。<br />當您認為自己知道答案時，請輸入 **answer**，然後按下 ENTER 鍵。<br /><br />**提示**：輸入 **gcloud ml vision** 即可開始。","python/challenge.py', 'node/challenge.js', 'go/challenge.go'를 수정하거나 gsutil을 직접 사용해서 $BUCKET_NAME이라는 버킷을 만드세요.\n\n문제가 있으면 'help' 또는 'hint'를 입력하세요.\n\n완료되었으면 'Check' 버튼을 누르세요.",在时间用完之前，证明您可以创建一个 Google Cloud Storage 存储分区。,修改「python/challenge.py」、「node/challenge.js」、「go/challenge.go」，或直接使用 gsutil 建立名為「$BUCKET_NAME」的儲存區。\n\n遇到問題？請輸入「help」或「hint」。\n\n完成後按一下「勾選」按鈕。
challenge-notes-1,"In this quest you will use Google Cloud storage. GCS is unstructured,\n\nmaking it ideal for storing images, text, music, and other binary files.","Nesta quest, você usará o Google Cloud Storage. O GCS é um serviço não estruturado.\n\n Por isso, ele é ideal para armazenar imagens, textos, músicas e outros arquivos binários.","En esta Quest, utilizarás Google Cloud Storage. GCS ofrece un almacenamiento sin estructurar,\n\npor lo que es ideal para guardar imágenes, texto, música y otros archivos binarios.",第 2 級：將音訊轉錄為文字,"이 퀘스트에서는 Google Cloud Storage를 사용합니다. GCS는 구조화되지 않아서\n\n이미지, 텍스트, 음악 등 다양한 바이너리 파일을 저장하는 데 이상적입니다.",通过修改“python/challenge.py”、“node/challenge.js”、“go/challenge.go”或者直接使用 gsutil，创建一个名为 $BUCKET_NAME 的存储分区。\n\n感觉有困难？请输入“help”（帮助）或“hint”（提示）。\n\n完成后点击“Check”（检查）按钮。,在這項任務中，您將會使用「Google 雲端儲存空間」。「Google 雲端儲存空間」是非結構資料儲存空間，\n\n適合儲存圖片、文字、音樂和其他二進位檔案。
challenge-title-2,Level 2 - A foo by any other name.,Nível 2 – Um nome é só um nome.,Nivel 2: En un foobar de La Mancha...,證明您可以偵測一些音訊檔案的相關資訊。,레벨 2 - 다른 이름으로 foo 업로드하기,在这一挑战任务中，您将使用 Google Cloud storage。Google Cloud storage 具有非结构化的特点，\n\n因此非常适合存储图片、文本、音乐及其他二进制文件。,第 2 級 - 其他名稱的 foo 檔案。
challenge-teaser-2,It's time to upload some content to your newly created bucket.,Agora faça upload do conteúdo para o intervalo que acabou de criar.,Es hora de cargar contenido en el segmento que acabas de crear.,共有三個音訊檔案：**quote1.wav**、**quote2.wav** 和 **quote3.wav**。告訴我們這些台詞是出自於哪些 90 年代的經典電影，測試一下您對流行文化的瞭解程度如何。請使用 Speech to Text API 將音訊轉換為文字，然後回報電影片名。\n當您認為自己知道答案時，請輸入 **answer**，然後按下 ENTER 鍵。\n **提示**：輸入 **gcloud ml speech** 即可開始。,이제 새로 만든 버킷에 콘텐츠를 업로드할 시간입니다.,第 2 关 - 另有其名的 foo。,請上載内容至您新建的儲存區。
